peak.id	seqnames	start	end	width	strand	WT	E80A	K88N	R90W	cluster	row_cluster	small.cluster	khom_cluster	ehom_cluster
peak.46	chr1	34439515	34439915	401	*	218.5902448	216.820377	32.42967413	28.1857917	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.47	chr1	34706406	34706806	401	*	129.4654669	57.75564626	7.206594251	15.93109966	e80a.lost	e80a.lost	e80a_shared	k88n.lost	e80a.notDB
peak.48	chr1	34739922	34740322	401	*	36.58806672	91.8409457	10.80989138	12.25469205	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB
peak.49	chr1	34849335	34849735	401	*	182.0021781	139.1816394	10.80989138	15.93109966	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.50	chr1	34851248	34851648	401	*	38.46437784	47.34069366	10.80989138	15.93109966	e80a.notDB	e80a.notDB	e80a_shared	k88n.notDB	e80a.notDB
peak.51	chr1	34866817	34867217	401	*	335.8596894	313.395392	26.42417892	56.37158341	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.52	chr1	36064931	36065331	401	*	125.7128446	125.9262451	10.80989138	20.83297648	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.53	chr1	36244198	36244598	401	*	62.85642232	72.90466824	4.804396167	11.02922284	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.54	chr1	36476191	36476591	401	*	33.77360005	76.69192373	13.21208946	9.803753636	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB
peak.55	chr1	36492459	36492859	401	*	112.5786668	130.6603145	31.22857509	24.50938409	e80a.notDB	e80a.notDB	e80a_shared	k88n.notDB	e80a.notDB
peak.56	chr1	36523577	36523977	401	*	47.84593341	81.42599309	12.01099042	12.25469205	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB
peak.57	chr1	36547134	36547534	401	*	60.04195565	58.70246014	4.804396167	14.70563045	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.58	chr1	36674801	36675201	401	*	21.57757781	67.223785	4.804396167	8.578284432	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB
peak.59	chr1	36680882	36681282	401	*	162.3009114	150.5434058	18.01648563	28.1857917	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.60	chr1	36709941	36710341	401	*	71.29982234	66.27697112	10.80989138	22.05844568	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.61	chr1	37214204	37214604	401	*	71.29982234	38.8193688	19.21758467	18.38203807	e80a.lost	e80a.lost	e80a_shared	k88n.notDB	e80a.notDB
peak.62	chr1	37218918	37219318	401	*	62.85642232	63.4365295	8.407693293	18.38203807	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.63	chr1	37541629	37542029	401	*	106.0115779	72.90466824	27.62527796	22.05844568	e80a.lost	e80a.lost	e80a_shared	k88n.notDB	e80a.notDB
peak.64	chr1	37997113	37997513	401	*	98.50633349	86.16006246	28.826377	19.60750727	e80a.notDB	e80a.notDB	e80a_shared	k88n.notDB	e80a.notDB
peak.65	chr1	38562189	38562589	401	*	48.78408897	92.78775957	87.68023005	13.48016125	k88n.gained	e80a.gained	k88n_unique	k88n.notDB	
peak.66	chr1	38584306	38584706	401	*	35.64991117	105.0963399	8.407693293	12.25469205	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB
peak.67	chr1	38596114	38596514	401	*	25.33020004	81.42599309	10.80989138	7.352815227	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB
peak.68	chr1	39431766	39432166	401	*	75.99060012	63.4365295	12.01099042	13.48016125	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.69	chr1	39433895	39434295	401	*	162.3009114	107.9367815	24.02198084	30.63673011	e80a.lost	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.70	chr1	39444995	39445395	401	*	105.0734224	53.0215769	12.01099042	19.60750727	e80a.lost	e80a.lost	e80a_shared	k88n.lost	e80a.notDB
peak.71	chr1	39446186	39446586	401	*	232.6625781	116.4581064	74.46814059	40.44048375	e80a.lost	e80a.lost	e80a_shared	k88n.notDB	e80a.notDB
peak.72	chr1	39449852	39450252	401	*	109.7642002	100.3622706	3.603297125	6.127346023	e80a.notDB	e80a.notDB	e80a_shared		e80a.notDB
peak.73	chr1	39451998	39452398	401	*	116.3312891	106.0431538	14.4131885	14.70563045	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.74	chr1	39474088	39474488	401	*	258.9309337	271.7355816	16.81538659	25.7348533	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.75	chr1	39476904	39477304	401	*	47.84593341	68.17059887	15.61428754	9.803753636	e80a.notDB	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB
peak.76	chr1	39931989	39932389	401	*	71.29982234	56.80883239	9.608792334	8.578284432	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.77	chr1	39963837	39964237	401	*	63.79457788	60.59608788	2.402198084	18.38203807	e80a.notDB	e80a.notDB	e80a_shared		e80a.notDB
peak.78	chr1	40154788	40155188	401	*	92.87740015	41.65981042	15.61428754	12.25469205	e80a.lost	e80a.lost	e80a_shared	k88n.lost	e80a.notDB
peak.79	chr1	43095105	43095505	401	*	83.49584458	123.0858035	7.206594251	12.25469205	e80a.gained	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.80	chr1	43098077	43098477	401	*	50.66040008	67.223785	9.608792334	13.48016125	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.81	chr1	44594000	44594400	401	*	283.3229782	20.82990521	80.4736358	53.920645	e80a.lost	e80a.lost	e80a_shared	k88n.notDB	e80a.lost
peak.82	chr1	44733521	44733921	401	*	145.4141113	48.28750753	25.22307988	25.7348533	e80a.lost	e80a.lost	e80a_shared	k88n.lost	e80a.notDB
peak.83	chr1	45795211	45795611	401	*	74.11428901	90.89413183	20.41868371	22.05844568	e80a.notDB	e80a.notDB	e80a_shared	k88n.notDB	e80a.notDB
peak.84	chr1	45822025	45822425	401	*	32.8354445	60.59608788	19.21758467	15.93109966	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB
peak.85	chr1	46153031	46153431	401	*	17.82495558	95.62820119	9.608792334	12.25469205	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.gained
peak.86	chr1	46166660	46167060	401	*	10.31971113	53.0215769	10.80989138	11.02922284	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB
peak.87	chr1	51478277	51478677	401	*	56.28933342	66.27697112	10.80989138	20.83297648	e80a.notDB	e80a.notDB	e80a_shared	k88n.notDB	e80a.notDB
peak.88	chr1	51628106	51628506	401	*	178.2495558	155.2774752	19.21758467	26.9603225	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.89	chr1	52150020	52150420	401	*	56.28933342	76.69192373	9.608792334	12.25469205	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.90	chr1	52231862	52232262	401	*	112.5786668	71.95785436	25.22307988	22.05844568	e80a.lost	e80a.lost	e80a_shared	k88n.lost	e80a.notDB
peak.91	chr1	52330545	52330945	401	*	62.85642232	70.06422662	10.80989138	13.48016125	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.92	chr1	52435735	52436135	401	*	127.5891558	64.38334338	10.80989138	29.41126091	e80a.lost	e80a.lost	e80a_shared	k88n.lost	e80a.notDB
peak.93	chr1	52634241	52634641	401	*	51.59855564	73.85148211	8.407693293	18.38203807	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.94	chr1	52726159	52726559	401	*	38.46437784	48.28750753	7.206594251	15.93109966	e80a.notDB	e80a.notDB	e80a_shared	k88n.notDB	e80a.notDB
peak.95	chr1	53225631	53226031	401	*	121.0220669	41.65981042	16.81538659	25.7348533	e80a.lost	e80a.lost	e80a_shared	k88n.lost	e80a.notDB
peak.96	chr1	53778483	53778883	401	*	114.454978	72.90466824	2.402198084	14.70563045	e80a.lost	e80a.lost	e80a_shared		e80a.notDB
peak.97	chr1	54286429	54286829	401	*	91.93924459	40.71299655	146.5340831	20.83297648	k88n.gained	k88n.gained	k88n_unique	k88n.notDB	
peak.98	chr1	54438445	54438845	401	*	53.47486675	21.77671908	15.61428754	17.15656886	e80a.lost	e80a.lost	e80a_shared	k88n.notDB	e80a.notDB
peak.99	chr1	54859860	54860260	401	*	114.454978	102.2558983	4.804396167	13.48016125	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.100	chr1	55002268	55002668	401	*	123.8365335	38.8193688	6.005495209	13.48016125	e80a.lost	e80a.lost	e80a_shared	k88n.lost	e80a.notDB
peak.101	chr1	55052525	55052925	401	*	65.67088899	67.223785	6.005495209	7.352815227	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.102	chr1	55501154	55501554	401	*	20.63942225	99.41545668	14.4131885	15.93109966	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.gained
peak.103	chr1	55700801	55701201	401	*	15.94864447	47.34069366	14.4131885	12.25469205	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB
peak.104	chr1	55888639	55889039	401	*	558.2025564	469.6196811	45.64176359	83.33190591	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.105	chr1	56973276	56973676	401	*	56.28933342	84.26643471	8.407693293	18.38203807	e80a.gained	e80a.gained	e80a_shared	k88n.lost	e80a.notDB
peak.106	chr1	58203838	58204238	401	*	32.8354445	76.69192373	9.608792334	17.15656886	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB
peak.107	chr1	58394577	58394977	401	*	30.02097783	55.86201852	10.80989138	8.578284432	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB
peak.108	chr1	58586214	58586614	401	*	45.03146674	49.23432141	15.61428754	8.578284432	e80a.notDB	e80a.notDB	e80a_shared	k88n.notDB	e80a.notDB
peak.109	chr1	58600448	58600848	401	*	34.71175561	97.52182894	7.206594251	23.28391489	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB
peak.110	chr1	58602471	58602871	401	*	124.7746891	71.01104049	4.804396167	13.48016125	e80a.lost	e80a.lost	e80a_shared	k88n.lost	e80a.notDB
peak.111	chr1	58621196	58621596	401	*	36.58806672	120.2453619	15.61428754	15.93109966	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB
peak.112	chr1	58713781	58714181	401	*	31.89728894	63.4365295	7.206594251	18.38203807	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB
peak.113	chr1	58723048	58723448	401	*	123.8365335	116.4581064	8.407693293	25.7348533	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.114	chr1	58880791	58881191	401	*	69.42351122	234.8098405	12.01099042	24.50938409	e80a.gained	e80a.gained	e80a_shared	k88n.lost	e80a.notDB
peak.115	chr1	58961490	58961890	401	*	86.31031125	139.1816394	14.4131885	18.38203807	e80a.gained	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.116	chr1	58969959	58970359	401	*	65.67088899	93.73457345	4.804396167	12.25469205	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.117	chr1	58972865	58973265	401	*	59.10380009	98.46864281	16.81538659	20.83297648	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB
peak.118	chr1	59117452	59117852	401	*	329.2926005	116.4581064	69.66374442	52.6951758	e80a.lost	e80a.lost	e80a_shared	k88n.lost	e80a.notDB
peak.119	chr1	59161469	59161869	401	*	218.5902448	217.7671908	4.804396167	29.41126091	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.120	chr1	59163483	59163883	401	*	142.5996447	79.53236535	12.01099042	26.9603225	e80a.lost	e80a.lost	e80a_shared	k88n.lost	e80a.notDB
peak.121	chr1	59207886	59208286	401	*	204.5179114	34.08529943	16.81538659	15.93109966	e80a.lost	e80a.lost	e80a_shared	k88n.lost	e80a.lost
peak.122	chr1	59425196	59425596	401	*	78.80506679	128.7666868	24.02198084	14.70563045	e80a.gained	e80a.notDB	e80a_shared	k88n.notDB	e80a.notDB
peak.123	chr1	59684705	59685105	401	*	70.36166678	56.80883239	21.61978275	23.28391489	e80a.notDB	e80a.notDB	e80a_shared	k88n.notDB	e80a.notDB
peak.124	chr1	60097816	60098216	401	*	100.3826446	88.05369021	16.81538659	19.60750727	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.125	chr1	60100099	60100499	401	*	38.46437784	112.6708509	14.4131885	15.93109966	e80a.gained	e80a.notDB	e80a_shared	k88n.notDB	e80a.notDB
peak.126	chr1	60129948	60130348	401	*	9.38155557	80.47917922	12.01099042	12.25469205	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.gained
peak.127	chr1	60273851	60274251	401	*	130.4036224	100.3622706	12.01099042	17.15656886	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.128	chr1	60569724	60570124	401	*	146.3522669	109.8304093	15.61428754	12.25469205	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.129	chr1	61140183	61140583	401	*	25.33020004	69.11741274	3.603297125	7.352815227	e80a.gained	e80a.gained	e80a_shared		e80a.notDB
peak.130	chr1	61229116	61229516	401	*	60.04195565	118.3517341	7.206594251	17.15656886	e80a.gained	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.131	chr1	61265804	61266204	401	*	121.0220669	70.06422662	148.9362812	26.9603225	k88n.gained	k88n.gained	k88n_unique	k88n.notDB	
peak.132	chr1	61298829	61299229	401	*	112.5786668	52.07476303	56.45165496	18.38203807	e80a.lost	e80a.lost	e80a_shared	k88n.notDB	e80a.notDB
peak.133	chr1	61331930	61332330	401	*	51.59855564	86.16006246	12.01099042	7.352815227	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB
peak.134	chr1	62370348	62370748	401	*	17.82495558	17.04264972	100.8923195	14.70563045	k88n.gained	k88n.gained	k88n_unique	k88n.gained	
peak.135	chr1	62984663	62985063	401	*	105.0734224	150.5434058	4.804396167	23.28391489	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.136	chr1	63088868	63089268	401	*	144.4759558	76.69192373	8.407693293	13.48016125	e80a.lost	e80a.lost	e80a_shared	k88n.lost	e80a.notDB
peak.137	chr1	63294031	63294431	401	*	86.31031125	54.91520464	24.02198084	18.38203807	e80a.lost	e80a.lost	e80a_shared	k88n.notDB	e80a.notDB
peak.138	chr1	64078805	64079205	401	*	20.63942225	70.06422662	19.21758467	25.7348533	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB
peak.139	chr1	64298825	64299225	401	*	22.51573337	61.54290176	16.81538659	12.25469205	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB
peak.140	chr1	64547391	64547791	401	*	105.0734224	120.2453619	13.21208946	20.83297648	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.141	chr1	64568115	64568515	401	*	106.0115779	118.3517341	18.01648563	29.41126091	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.142	chr1	64570621	64571021	401	*	47.84593341	74.79829598	16.81538659	24.50938409	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB
peak.143	chr1	64690472	64690872	401	*	59.10380009	69.11741274	2.402198084	17.15656886	e80a.notDB	e80a.notDB	e80a_shared		e80a.notDB
peak.144	chr1	64804178	64804578	401	*	69.42351122	52.07476303	42.03846646	25.7348533	e80a.lost	e80a.notDB	e80a_shared	k88n.notDB	e80a.notDB
peak.145	chr1	65035354	65035754	401	*	29.08282227	52.07476303	8.407693293	7.352815227	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB
peak.146	chr1	65111261	65111661	401	*	26.2683556	71.95785436	9.608792334	6.127346023	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB
peak.147	chr1	65178761	65179161	401	*	64.73273344	85.21324859	9.608792334	7.352815227	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.148	chr1	65179918	65180318	401	*	68.48535566	74.79829598	52.84835784	12.25469205	e80a.notDB	e80a.notDB	e80a_shared	k88n.notDB	e80a.notDB
peak.149	chr1	65186296	65186696	401	*	103.1971113	120.2453619	15.61428754	13.48016125	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.150	chr1	65394388	65394788	401	*	60.04195565	60.59608788	121.3110032	23.28391489	k88n.gained	k88n.gained	k88n_unique	k88n.notDB	
peak.151	chr1	66115350	66115750	401	*	36.58806672	94.68138732	16.81538659	20.83297648	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB
peak.152	chr1	66321486	66321886	401	*	37.52622228	67.223785	21.61978275	17.15656886	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB
peak.153	chr1	66339695	66340095	401	*	261.7454004	199.7777272	24.02198084	58.82252182	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.154	chr1	66364370	66364770	401	*	391.2108673	142.022081	60.05495209	50.24423739	e80a.lost	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.155	chr1	66402636	66403036	401	*	198.8889781	43.55343817	22.82088179	28.1857917	e80a.lost	e80a.lost	e80a_shared	k88n.lost	e80a.notDB
peak.156	chr1	66633463	66633863	401	*	143.5378002	143.9157087	20.41868371	40.44048375	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.157	chr1	66686387	66686787	401	*	143.5378002	104.1495261	18.01648563	18.38203807	e80a.lost	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.158	chr1	66782409	66782809	401	*	87.2484668	98.46864281	22.82088179	24.50938409	e80a.notDB	e80a.notDB	e80a_shared	k88n.notDB	e80a.notDB
peak.159	chr1	66831216	66831616	401	*	283.3229782	52.07476303	111.7022109	58.82252182	e80a.lost	e80a.lost	e80a_shared	k88n.notDB	e80a.lost
peak.160	chr1	69296796	69297196	401	*	87.2484668	81.42599309	6.005495209	18.38203807	e80a.notDB	e80a.lost	e80a_shared	k88n.lost	e80a.notDB
peak.161	chr1	69686884	69687284	401	*	48.78408897	46.39387979	7.206594251	12.25469205	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.162	chr1	71641458	71641858	401	*	42.21700007	89.94731795	13.21208946	11.02922284	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB
peak.163	chr1	71945662	71946062	401	*	21.57757781	66.27697112	8.407693293	9.803753636	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB
peak.164	chr1	72136099	72136499	401	*	319.911045	195.9904717	58.85385305	45.34236057	e80a.lost	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.165	chr1	72182521	72182921	401	*	91.93924459	72.90466824	4.804396167	8.578284432	e80a.notDB	e80a.lost	e80a_shared	k88n.lost	e80a.notDB
peak.166	chr1	72391579	72391979	401	*	51.59855564	57.75564626	15.61428754	22.05844568	e80a.notDB	e80a.notDB	e80a_shared	k88n.notDB	e80a.notDB
peak.167	chr1	72454717	72455117	401	*	30.95913338	12.30858035	78.07143772	13.48016125	k88n.gained	k88n.gained	k88n_unique	k88n.notDB	
peak.168	chr1	72489968	72490368	401	*	56.28933342	21.77671908	7.206594251	11.02922284	e80a.lost	e80a.lost	e80a_shared	k88n.lost	e80a.notDB
peak.169	chr1	72504551	72504951	401	*	64.73273344	29.35123007	12.01099042	23.28391489	e80a.lost	e80a.lost	e80a_shared	k88n.lost	e80a.notDB
