seqnames	start	end	vsx2.peak.id	ints_cluster
chr1	90060538	90060938	vsx2_chip_e14.5_109	e14.5
chr1	90343546	90343946	vsx2_chip_e14.5_110	e14.5
chr1	90939421	90939821	vsx2_chip_e14.5_111	e14.5
chr1	91428643	91429043	vsx2_chip_e14.5_112	e14.5
chr1	91758671	91759071	vsx2_chip_e14.5_113	e14.5
chr1	95263743	95264143	vsx2_chip_e14.5_114	e14.5
chr1	97891160	97891560	vsx2_chip_e14.5_115	e14.5
chr1	106072047	106072447	vsx2_chip_e14.5_116	e14.5
chr1	106702776	106703176	vsx2_chip_e14.5_117	e14.5
chr1	106867714	106868114	vsx2_chip_e14.5_118	e14.5
chr1	107914781	107915181	vsx2_chip_e14.5_119	e14.5
chr1	109975598	109975998	vsx2_chip_e14.5_120	e14.5
chr1	114528507	114528907	vsx2_chip_e14.5_121	e14.5
chr1	116455135	116455535	vsx2_chip_e14.5_122	e14.5
chr1	118485461	118485861	vsx2_chip_e14.5_123	e14.5
chr1	118913981	118914381	vsx2_chip_e14.5_124	e14.5
chr1	118984021	118984421	vsx2_chip_e14.5_125	e14.5
chr1	120627331	120627731	vsx2_chip_e14.5_126	e14.5
chr1	120788678	120789078	vsx2_chip_e14.5_127	e14.5
chr1	121051193	121051593	vsx2_chip_e14.5_128	e14.5
chr1	124652401	124652801	vsx2_chip_e14.5_129	e14.5
chr1	125560650	125561050	vsx2_chip_e14.5_130	e14.5
chr1	127015127	127015527	vsx2_chip_e14.5_131	e14.5
chr1	127168160	127168560	vsx2_chip_e14.5_132	e14.5
chr1	127531210	127531610	vsx2_chip_e14.5_133	e14.5
chr1	128683041	128683441	vsx2_chip_e14.5_134	e14.5
chr1	128824232	128824632	vsx2_chip_e14.5_135	e14.5
chr1	130192720	130193120	vsx2_chip_e14.5_136	e14.5
chr1	131116749	131117149	vsx2_chip_e14.5_137	e14.5
chr1	131319586	131319986	vsx2_chip_e14.5_138	e14.5
chr1	131909953	131910353	vsx2_chip_e14.5_139	e14.5
chr1	132197593	132197993	vsx2_chip_e14.5_140	e14.5
chr1	132292952	132293352	vsx2_chip_e14.5_141	e14.5
chr1	132351324	132351724	vsx2_chip_e14.5_142	e14.5
chr1	132530594	132530994	vsx2_chip_e14.5_143	e14.5
chr1	132800463	132800863	vsx2_chip_e14.5_144	e14.5
chr1	133087568	133087968	vsx2_chip_e14.5_145	e14.5
chr1	133201684	133202084	vsx2_chip_e14.5_146	e14.5
chr1	133306701	133307101	vsx2_chip_e14.5_147	e14.5
chr1	133799748	133800148	vsx2_chip_e14.5_148	e14.5
chr1	134177979	134178379	vsx2_chip_e14.5_149	e14.5
chr1	134405582	134405982	vsx2_chip_e14.5_150	e14.5
chr1	135026261	135026661	vsx2_chip_e14.5_151	e14.5
chr1	135259056	135259456	vsx2_chip_e14.5_152	e14.5
chr1	135282966	135283366	vsx2_chip_e14.5_153	e14.5
chr1	135368127	135368527	vsx2_chip_e14.5_154	e14.5
chr1	136909532	136909932	vsx2_chip_e14.5_155	e14.5
chr1	137355911	137356311	vsx2_chip_e14.5_156	e14.5
chr1	137899040	137899440	vsx2_chip_e14.5_157	e14.5
chr1	137926387	137926787	vsx2_chip_e14.5_158	e14.5
chr1	138345922	138346322	vsx2_chip_e14.5_159	e14.5
chr1	138500167	138500567	vsx2_chip_e14.5_160	e14.5
chr1	138694187	138694587	vsx2_chip_e14.5_161	e14.5
chr1	138835346	138835746	vsx2_chip_e14.5_162	e14.5
chr1	138844121	138844521	vsx2_chip_e14.5_163	e14.5
chr1	139391840	139392240	vsx2_chip_e14.5_164	e14.5
chr1	139424896	139425296	vsx2_chip_e14.5_165	e14.5
chr1	139454330	139454730	vsx2_chip_e14.5_166	e14.5
chr1	140660974	140661374	vsx2_chip_e14.5_167	e14.5
chr1	143278001	143278401	vsx2_chip_e14.5_168	e14.5
chr1	148797146	148797546	vsx2_chip_e14.5_169	e14.5
chr1	149533512	149533912	vsx2_chip_e14.5_170	e14.5
chr1	152573507	152573907	vsx2_chip_e14.5_171	e14.5
chr1	153675901	153676301	vsx2_chip_e14.5_172	e14.5
chr1	154418318	154418718	vsx2_chip_e14.5_173	e14.5
chr1	154742914	154743314	vsx2_chip_e14.5_174	e14.5
chr1	154784732	154785132	vsx2_chip_e14.5_175	e14.5
chr1	155463600	155464000	vsx2_chip_e14.5_176	e14.5
chr1	155537176	155537576	vsx2_chip_e14.5_177	e14.5
chr1	156184061	156184461	vsx2_chip_e14.5_178	e14.5
chr1	157016705	157017105	vsx2_chip_e14.5_179	e14.5
chr1	157036760	157037160	vsx2_chip_e14.5_180	e14.5
chr1	157443245	157443645	vsx2_chip_e14.5_181	e14.5
chr1	158192026	158192426	vsx2_chip_e14.5_182	e14.5
chr1	158193007	158193407	vsx2_chip_e14.5_183	e14.5
chr1	161687521	161687921	vsx2_chip_e14.5_184	e14.5
chr1	161736470	161736870	vsx2_chip_e14.5_185	e14.5
chr1	162359285	162359685	vsx2_chip_e14.5_186	e14.5
chr1	165667877	165668277	vsx2_chip_e14.5_187	e14.5
chr1	166003296	166003696	vsx2_chip_e14.5_188	e14.5
chr1	166045562	166045962	vsx2_chip_e14.5_189	e14.5
chr1	166282572	166282972	vsx2_chip_e14.5_190	e14.5
chr1	167002658	167003058	vsx2_chip_e14.5_191	e14.5
chr1	167033396	167033796	vsx2_chip_e14.5_192	e14.5
chr1	167194753	167195153	vsx2_chip_e14.5_193	e14.5
chr1	167929736	167930136	vsx2_chip_e14.5_194	e14.5
chr1	168007410	168007810	vsx2_chip_e14.5_195	e14.5
chr1	168265204	168265604	vsx2_chip_e14.5_196	e14.5
chr1	170591476	170591876	vsx2_chip_e14.5_197	e14.5
chr1	171330365	171330765	vsx2_chip_e14.5_198	e14.5
chr1	172126807	172127207	vsx2_chip_e14.5_199	e14.5
chr1	172149263	172149663	vsx2_chip_e14.5_200	e14.5
chr1	172242246	172242646	vsx2_chip_e14.5_201	e14.5
chr1	175912366	175912766	vsx2_chip_e14.5_202	e14.5
chr1	177150787	177151187	vsx2_chip_e14.5_203	e14.5
chr1	177373446	177373846	vsx2_chip_e14.5_204	e14.5
chr1	177640512	177640912	vsx2_chip_e14.5_205	e14.5
chr1	177718784	177719184	vsx2_chip_e14.5_206	e14.5
chr1	178856056	178856456	vsx2_chip_e14.5_207	e14.5
chr1	178909902	178910302	vsx2_chip_e14.5_208	e14.5
chr1	179446170	179446570	vsx2_chip_e14.5_209	e14.5
chr1	180250191	180250591	vsx2_chip_e14.5_210	e14.5
chr1	180812385	180812785	vsx2_chip_e14.5_211	e14.5
chr1	181259664	181260064	vsx2_chip_e14.5_212	e14.5
chr1	182021157	182021557	vsx2_chip_e14.5_213	e14.5
chr1	182082069	182082469	vsx2_chip_e14.5_214	e14.5
chr1	182341103	182341503	vsx2_chip_e14.5_215	e14.5
chr1	182955391	182955791	vsx2_chip_e14.5_216	e14.5
chr1	183146644	183147044	vsx2_chip_e14.5_217	e14.5
chr1	183159058	183159458	vsx2_chip_e14.5_218	e14.5
chr1	186187353	186187753	vsx2_chip_e14.5_219	e14.5
chr1	186278071	186278471	vsx2_chip_e14.5_220	e14.5
chr1	186408995	186409395	vsx2_chip_e14.5_221	e14.5
chr1	186681392	186681792	vsx2_chip_e14.5_222	e14.5
chr1	186926377	186926777	vsx2_chip_e14.5_223	e14.5
chr1	187070220	187070620	vsx2_chip_e14.5_224	e14.5
chr1	187077285	187077685	vsx2_chip_e14.5_225	e14.5
chr1	187439521	187439921	vsx2_chip_e14.5_226	e14.5
chr1	187862417	187862817	vsx2_chip_e14.5_227	e14.5
chr1	187918116	187918516	vsx2_chip_e14.5_228	e14.5
chr1	188151067	188151467	vsx2_chip_e14.5_229	e14.5
chr1	188186790	188187190	vsx2_chip_e14.5_230	e14.5
chr1	188529714	188530114	vsx2_chip_e14.5_231	e14.5
chr1	188725643	188726043	vsx2_chip_e14.5_232	e14.5
chr1	189143840	189144240	vsx2_chip_e14.5_233	e14.5
chr1	189913944	189914344	vsx2_chip_e14.5_234	e14.5
chr1	189922884	189923284	vsx2_chip_e14.5_235	e14.5
chr1	190047650	190048050	vsx2_chip_e14.5_236	e14.5
chr1	190190578	190190978	vsx2_chip_e14.5_237	e14.5
chr1	190191961	190192361	vsx2_chip_e14.5_238	e14.5
chr1	190220373	190220773	vsx2_chip_e14.5_239	e14.5
chr1	190333717	190334117	vsx2_chip_e14.5_240	e14.5
chr1	190443163	190443563	vsx2_chip_e14.5_241	e14.5
chr1	190654058	190654458	vsx2_chip_e14.5_242	e14.5
chr1	190753039	190753439	vsx2_chip_e14.5_243	e14.5
chr1	190995511	190995911	vsx2_chip_e14.5_244	e14.5
chr1	191470608	191471008	vsx2_chip_e14.5_245	e14.5
chr1	192799427	192799827	vsx2_chip_e14.5_246	e14.5
chr1	192823400	192823800	vsx2_chip_e14.5_247	e14.5
chr1	193389499	193389899	vsx2_chip_e14.5_248	e14.5
chr1	193406174	193406574	vsx2_chip_e14.5_249	e14.5
chr1	193589902	193590302	vsx2_chip_e14.5_250	e14.5
chr1	193671731	193672131	vsx2_chip_e14.5_251	e14.5
chr1	194769363	194769763	vsx2_chip_e14.5_252	e14.5
chr1	195130791	195131191	vsx2_chip_e14.5_253	e14.5
chr10	4334330	4334730	vsx2_chip_e14.5_254	e14.5
chr10	8762149	8762549	vsx2_chip_e14.5_255	e14.5
chr10	8886028	8886428	vsx2_chip_e14.5_256	e14.5
chr10	9531939	9532339	vsx2_chip_e14.5_257	e14.5
chr10	9696399	9696799	vsx2_chip_e14.5_258	e14.5
chr10	11755359	11755759	vsx2_chip_e14.5_259	e14.5
chr10	12574717	12575117	vsx2_chip_e14.5_260	e14.5
chr10	13117440	13117840	vsx2_chip_e14.5_261	e14.5
chr10	13415470	13415870	vsx2_chip_e14.5_262	e14.5
chr10	13419335	13419735	vsx2_chip_e14.5_263	e14.5
chr10	13964359	13964759	vsx2_chip_e14.5_264	e14.5
chr10	15300098	15300498	vsx2_chip_e14.5_265	e14.5
chr10	15541744	15542144	vsx2_chip_e14.5_266	e14.5
chr10	16052456	16052856	vsx2_chip_e14.5_267	e14.5
chr10	17179792	17180192	vsx2_chip_e14.5_268	e14.5
chr10	17230166	17230566	vsx2_chip_e14.5_269	e14.5
chr10	17253044	17253444	vsx2_chip_e14.5_270	e14.5
chr10	18372034	18372434	vsx2_chip_e14.5_271	e14.5
chr10	18505797	18506197	vsx2_chip_e14.5_272	e14.5
chr10	19396660	19397060	vsx2_chip_e14.5_273	e14.5
chr10	20073147	20073547	vsx2_chip_e14.5_274	e14.5
chr10	20290381	20290781	vsx2_chip_e14.5_275	e14.5
chr10	21055499	21055899	vsx2_chip_e14.5_276	e14.5
chr10	21575781	21576181	vsx2_chip_e14.5_277	e14.5
chr10	21882864	21883264	vsx2_chip_e14.5_278	e14.5
chr10	23600643	23601043	vsx2_chip_e14.5_279	e14.5
chr10	24870501	24870901	vsx2_chip_e14.5_280	e14.5
chr10	25111533	25111933	vsx2_chip_e14.5_281	e14.5
chr10	27004803	27005203	vsx2_chip_e14.5_282	e14.5
chr10	27307528	27307928	vsx2_chip_e14.5_283	e14.5
chr10	27322342	27322742	vsx2_chip_e14.5_284	e14.5
chr10	28465067	28465467	vsx2_chip_e14.5_285	e14.5
chr10	28610736	28611136	vsx2_chip_e14.5_286	e14.5
chr10	30406017	30406417	vsx2_chip_e14.5_287	e14.5
chr10	30845362	30845762	vsx2_chip_e14.5_288	e14.5
chr10	34297114	34297514	vsx2_chip_e14.5_289	e14.5
chr10	36555470	36555870	vsx2_chip_e14.5_290	e14.5
chr10	37138916	37139316	vsx2_chip_e14.5_291	e14.5
chr10	37364591	37364991	vsx2_chip_e14.5_292	e14.5
chr10	37504138	37504538	vsx2_chip_e14.5_293	e14.5
chr10	37987153	37987553	vsx2_chip_e14.5_294	e14.5
chr10	39169978	39170378	vsx2_chip_e14.5_295	e14.5
chr10	39321377	39321777	vsx2_chip_e14.5_296	e14.5
chr10	39484377	39484777	vsx2_chip_e14.5_297	e14.5
chr10	40142248	40142648	vsx2_chip_e14.5_298	e14.5
chr10	41908873	41909273	vsx2_chip_e14.5_299	e14.5
chr10	42384934	42385334	vsx2_chip_e14.5_300	e14.5
chr10	42415993	42416393	vsx2_chip_e14.5_301	e14.5
chr10	42589519	42589919	vsx2_chip_e14.5_302	e14.5
chr10	43036647	43037047	vsx2_chip_e14.5_303	e14.5
chr10	43085185	43085585	vsx2_chip_e14.5_304	e14.5
chr10	43323284	43323684	vsx2_chip_e14.5_305	e14.5
chr10	44523837	44524237	vsx2_chip_e14.5_306	e14.5
chr10	44937225	44937625	vsx2_chip_e14.5_307	e14.5
chr10	45500373	45500773	vsx2_chip_e14.5_308	e14.5
chr10	46072300	46072700	vsx2_chip_e14.5_309	e14.5
chr10	46935556	46935956	vsx2_chip_e14.5_310	e14.5
chr10	50665726	50666126	vsx2_chip_e14.5_311	e14.5
chr10	51153718	51154118	vsx2_chip_e14.5_312	e14.5
chr10	51257680	51258080	vsx2_chip_e14.5_313	e14.5
chr10	51826395	51826795	vsx2_chip_e14.5_314	e14.5
chr10	53612273	53612673	vsx2_chip_e14.5_315	e14.5
chr10	54799800	54800200	vsx2_chip_e14.5_316	e14.5
chr10	56787896	56788296	vsx2_chip_e14.5_317	e14.5
chr10	58601080	58601480	vsx2_chip_e14.5_318	e14.5
chr10	60194993	60195393	vsx2_chip_e14.5_319	e14.5
chr10	60799872	60800272	vsx2_chip_e14.5_320	e14.5
chr10	60827509	60827909	vsx2_chip_e14.5_321	e14.5
chr10	60931941	60932341	vsx2_chip_e14.5_322	e14.5
chr10	61069398	61069798	vsx2_chip_e14.5_323	e14.5
chr10	62173170	62173570	vsx2_chip_e14.5_324	e14.5
chr10	62216528	62216928	vsx2_chip_e14.5_325	e14.5
chr10	62418814	62419214	vsx2_chip_e14.5_326	e14.5
chr10	62865013	62865413	vsx2_chip_e14.5_327	e14.5
chr10	63089415	63089815	vsx2_chip_e14.5_328	e14.5
chr10	66347294	66347694	vsx2_chip_e14.5_329	e14.5
chr10	66861339	66861739	vsx2_chip_e14.5_330	e14.5
chr10	67003823	67004223	vsx2_chip_e14.5_331	e14.5
chr10	67360291	67360691	vsx2_chip_e14.5_332	e14.5
chr10	67372689	67373089	vsx2_chip_e14.5_333	e14.5
chr10	67559776	67560176	vsx2_chip_e14.5_334	e14.5
chr10	68275553	68275953	vsx2_chip_e14.5_335	e14.5
chr10	68724112	68724512	vsx2_chip_e14.5_336	e14.5
chr10	69589322	69589722	vsx2_chip_e14.5_337	e14.5
chr10	69690142	69690542	vsx2_chip_e14.5_338	e14.5
chr10	70458531	70458931	vsx2_chip_e14.5_339	e14.5
chr10	77608227	77608627	vsx2_chip_e14.5_340	e14.5
chr10	78069145	78069545	vsx2_chip_e14.5_341	e14.5
chr10	78391737	78392137	vsx2_chip_e14.5_342	e14.5
chr10	78574166	78574566	vsx2_chip_e14.5_343	e14.5
chr10	79765742	79766142	vsx2_chip_e14.5_344	e14.5
chr10	79899608	79900008	vsx2_chip_e14.5_345	e14.5
chr10	80841667	80842067	vsx2_chip_e14.5_346	e14.5
chr10	80848054	80848454	vsx2_chip_e14.5_347	e14.5
chr10	82127753	82128153	vsx2_chip_e14.5_348	e14.5
chr10	82814174	82814574	vsx2_chip_e14.5_349	e14.5
chr10	82987475	82987875	vsx2_chip_e14.5_350	e14.5
chr10	82997482	82997882	vsx2_chip_e14.5_351	e14.5
chr10	83019929	83020329	vsx2_chip_e14.5_352	e14.5
chr10	83041863	83042263	vsx2_chip_e14.5_353	e14.5
chr10	83106273	83106673	vsx2_chip_e14.5_354	e14.5
chr10	83250494	83250894	vsx2_chip_e14.5_355	e14.5
chr10	84710751	84711151	vsx2_chip_e14.5_356	e14.5
chr10	84871358	84871758	vsx2_chip_e14.5_357	e14.5
chr10	85183507	85183907	vsx2_chip_e14.5_358	e14.5
chr10	85386551	85386951	vsx2_chip_e14.5_359	e14.5
chr10	86498634	86499034	vsx2_chip_e14.5_360	e14.5
chr10	87384510	87384910	vsx2_chip_e14.5_361	e14.5
chr10	87872767	87873167	vsx2_chip_e14.5_362	e14.5
chr10	89491340	89491740	vsx2_chip_e14.5_363	e14.5
chr10	91135573	91135973	vsx2_chip_e14.5_364	e14.5
chr10	91188788	91189188	vsx2_chip_e14.5_365	e14.5
chr10	91447941	91448341	vsx2_chip_e14.5_366	e14.5
chr10	91733928	91734328	vsx2_chip_e14.5_367	e14.5
chr10	92404776	92405176	vsx2_chip_e14.5_368	e14.5
chr10	92647675	92648075	vsx2_chip_e14.5_369	e14.5
chr10	93373889	93374289	vsx2_chip_e14.5_370	e14.5
chr10	93611374	93611774	vsx2_chip_e14.5_371	e14.5
chr10	94129681	94130081	vsx2_chip_e14.5_372	e14.5
chr10	94545083	94545483	vsx2_chip_e14.5_373	e14.5
chr10	95310988	95311388	vsx2_chip_e14.5_374	e14.5
chr10	95604151	95604551	vsx2_chip_e14.5_375	e14.5
chr10	95791101	95791501	vsx2_chip_e14.5_376	e14.5
chr10	98749224	98749624	vsx2_chip_e14.5_377	e14.5
chr10	99165708	99166108	vsx2_chip_e14.5_378	e14.5
chr10	99359561	99359961	vsx2_chip_e14.5_379	e14.5
chr10	100881528	100881928	vsx2_chip_e14.5_380	e14.5
chr10	103235732	103236132	vsx2_chip_e14.5_381	e14.5
chr10	103299728	103300128	vsx2_chip_e14.5_382	e14.5
chr10	104032821	104033221	vsx2_chip_e14.5_383	e14.5
chr10	104265639	104266039	vsx2_chip_e14.5_384	e14.5
chr10	105096748	105097148	vsx2_chip_e14.5_385	e14.5
chr10	105464388	105464788	vsx2_chip_e14.5_386	e14.5
chr10	105484300	105484700	vsx2_chip_e14.5_387	e14.5
chr10	105509159	105509559	vsx2_chip_e14.5_388	e14.5
chr10	107341061	107341461	vsx2_chip_e14.5_389	e14.5
chr10	107352000	107352400	vsx2_chip_e14.5_390	e14.5
chr10	108062098	108062498	vsx2_chip_e14.5_391	e14.5
chr10	108163116	108163516	vsx2_chip_e14.5_392	e14.5
chr10	108535553	108535953	vsx2_chip_e14.5_393	e14.5
chr10	108569439	108569839	vsx2_chip_e14.5_394	e14.5
chr10	109140456	109140856	vsx2_chip_e14.5_395	e14.5
chr10	109906089	109906489	vsx2_chip_e14.5_396	e14.5
chr10	111018878	111019278	vsx2_chip_e14.5_397	e14.5
chr10	111108724	111109124	vsx2_chip_e14.5_398	e14.5
chr10	111248294	111248694	vsx2_chip_e14.5_399	e14.5
chr10	111566769	111567169	vsx2_chip_e14.5_400	e14.5
chr10	112315236	112315636	vsx2_chip_e14.5_401	e14.5
chr10	113592177	113592577	vsx2_chip_e14.5_402	e14.5
chr10	117846489	117846889	vsx2_chip_e14.5_403	e14.5
chr10	117901299	117901699	vsx2_chip_e14.5_404	e14.5
chr10	118113133	118113533	vsx2_chip_e14.5_405	e14.5
chr10	118575518	118575918	vsx2_chip_e14.5_406	e14.5
chr10	120386955	120387355	vsx2_chip_e14.5_407	e14.5
chr10	120706723	120707123	vsx2_chip_e14.5_408	e14.5
chr10	120917583	120917983	vsx2_chip_e14.5_409	e14.5
chr10	121255802	121256202	vsx2_chip_e14.5_410	e14.5
chr10	121290681	121291081	vsx2_chip_e14.5_411	e14.5
chr10	122049216	122049616	vsx2_chip_e14.5_412	e14.5
chr10	122054563	122054963	vsx2_chip_e14.5_413	e14.5
chr10	122720473	122720873	vsx2_chip_e14.5_414	e14.5
chr10	122861940	122862340	vsx2_chip_e14.5_415	e14.5
chr10	122913146	122913546	vsx2_chip_e14.5_416	e14.5
chr10	122976979	122977379	vsx2_chip_e14.5_417	e14.5
chr10	123417704	123418104	vsx2_chip_e14.5_418	e14.5
chr10	123692062	123692462	vsx2_chip_e14.5_419	e14.5
chr10	126930546	126930946	vsx2_chip_e14.5_420	e14.5
chr10	127513726	127514126	vsx2_chip_e14.5_421	e14.5
chr10	127945223	127945623	vsx2_chip_e14.5_422	e14.5
chr10	128747664	128748064	vsx2_chip_e14.5_423	e14.5
chr10	128804129	128804529	vsx2_chip_e14.5_424	e14.5
chr11	3382837	3383237	vsx2_chip_e14.5_425	e14.5
chr11	4792979	4793379	vsx2_chip_e14.5_426	e14.5
chr11	4803071	4803471	vsx2_chip_e14.5_427	e14.5
chr11	5521954	5522354	vsx2_chip_e14.5_428	e14.5
chr11	6860319	6860719	vsx2_chip_e14.5_429	e14.5
chr11	11116793	11117193	vsx2_chip_e14.5_430	e14.5
chr11	11820242	11820642	vsx2_chip_e14.5_431	e14.5
chr11	11844662	11845062	vsx2_chip_e14.5_432	e14.5
chr11	11941228	11941628	vsx2_chip_e14.5_433	e14.5
chr11	11949176	11949576	vsx2_chip_e14.5_434	e14.5
chr11	12257607	12258007	vsx2_chip_e14.5_435	e14.5
