gene	k50_group	q50_group	GENEID	p10.ehet.lfc	p10.ehet.padj	p10.ehom.lfc	p10.ehom.padj	p10.khet.lfc	p10.khet.padj	p10.khom.lfc	p10.khom.padj	p10.rhom.lfc	p10.rhom.padj	p21.ehet.lfc	p21.ehet.padj	p21.ehom.lfc	p21.ehom.padj	p21.khet.lfc	p21.khet.padj	p21.khom.lfc	p21.khom.padj	p21.rhom.lfc	p21.rhom.padj
1700001L19Rik	3	3	ENSMUSG00000021534	0.126100204	0.641011838	0.021640276	0.955088528	0.009486204	0.988798751	0.612080701	0.085305671	-0.033267615	0.920321762	-0.056748738		-0.001262154	0.99697758	0.051262211	0.866468955	-0.362613336	0.364754443	0.016051712	0.966504958
1700001O22Rik	2	0	ENSMUSG00000044320	-0.096487219		-0.149961645	0.569044834	-0.081564388	0.778150143	0.048824723	0.909978719	-0.023866224	0.935704664	-0.3115476	0.12976444	-0.891326131	0.000541584	-0.461612079	0.059235727	-0.564150562	0.0259012	-0.384276861	0.121184371
1700003E16Rik	3	3	ENSMUSG00000030030	1.497765228	2.08e-08	1.853645919	1.27e-12	0.225220348	0.483197867	0.036199746	0.924295254	-0.196077637	0.471419278	0.348233485	0.072215536	1.053491097	1.22e-07	-0.134204512	0.568836926	-0.206177428	0.402761825	-0.284339682	0.223292253
1700008O03Rik	1	2	ENSMUSG00000008028	0.168376877	0.514725693	0.071982913	0.82231032	0.071966489	0.851019287	0.216762749	0.5620287	0.132048518	0.644924841	0.03767811	0.818055035	-0.042445687	0.903275929	0.20958678	0.458502951	-0.025107089	0.954184618	0.03272202	0.931767245
1700017B05Rik	3	0	ENSMUSG00000032300	-0.227860096	0.301113768	-0.388286897	0.102505796	-1.63666589	1.26e-12	-1.357853449	8.9e-10	-0.771818795	0.000505578	-0.170896133	0.343585376	0.607490831	0.004124935	-0.615986366	0.00603386	-0.284001958	0.239844917	-0.019735495	0.962575469
1700019A02Rik	3	2	ENSMUSG00000060715											0.055356156		-0.019183415		-0.06045409	0.822522693	-0.010532217	0.982199332	0.123035507	0.605949766
1700025G04Rik	3	3	ENSMUSG00000032666	-0.105740968	0.697838494	-0.146294919	0.633096075	-0.113360263	0.75630924	0.364988591	0.294922226	0.088405584	0.774828714	0.123179064	0.4843209	-0.306923938	0.299755302	0.472529963	0.107773113	-0.04866133	0.904051656	0.046340293	0.902554526
1700029J07Rik	1	2	ENSMUSG00000071103	0.610614794	0.008984395	0.267170694	0.303566762	-0.082655181	0.85929339	-0.365920187	0.147135053	-0.031604971	0.913708173	0.740259955	2.42e-06	0.127371453	0.563987677	0.339247632	0.043717539	-0.551388069	0.000740519	-0.53024225	0.001310663
1700123O20Rik	1	0	ENSMUSG00000040822	0.171963544	0.389319627	-0.108416762	0.660052994	0.02432614	0.96759135	0.032548626	0.911574038	-0.703176947	0.000144511	0.115478307	0.434220788	0.233552592	0.148433909	0.015638979	0.950608697	0.123175097	0.468958815	0.124288554	0.545584329
1810009A15Rik	3	3	ENSMUSG00000071653	0.746028302	0.00501625	0.133124619	0.655422244	-0.087184228	0.852728759	-0.618307195	0.017458689	-1.449379747	4e-08	0.015076657	0.920846322	-0.561375587	4.91e-06	-1.138460851	1.6e-21	-2.46655583	9.220000000000001e-86	-0.824533123	7.42e-12
1810013L24Rik	2	2	ENSMUSG00000022507	-0.316728488	0.125492982	0.034976228	0.909567348	0.238101204	0.383376793	0.201915727	0.405937432	0.233933839	0.279876223	-0.150375592	0.239707177	-0.12581302	0.425921962	-0.184020258	0.158755418	0.252752578	0.035552974	0.058276489	0.770904057
1810030O07Rik	1	3	ENSMUSG00000044148	0.065806473	0.756629335	0.056844075	0.827889606	0.108499133	0.762321739	0.163644368	0.433465198	0.255634789	0.157465845	0.195996783	0.099437545	0.052413496	0.787575771	0.192939812	0.121828606	0.31212414	0.005510237	0.108958541	0.526141992
1810037I17Rik	2	1	ENSMUSG00000054091	0.128942706	0.610500254	-0.252341626	0.353997894	0.070102747	0.885288972	0.558910331	0.029695239	-0.963485994	0.000153084	-0.586677285	0.000587077	-0.184650445	0.366538416	-0.176604749	0.341243482	0.156275462	0.42647868	0.11654365	0.634739019
1810055G02Rik	3	1	ENSMUSG00000035372	0.261412555	0.208060775	-0.134781398	0.60839516	0.04210207	0.940618769	-0.066867755	0.819070636	0.144537777	0.539194875	-0.034957596	0.850244657	0.068599879	0.814919728	-0.103804785	0.652944864	-0.034366348	0.906203161	-0.095138514	0.747471545
2010315B03Rik	3	3	ENSMUSG00000074829	-0.110087046	0.624297526	0.006767883	0.991203835	-0.459386832	0.046167486	-0.5066256	0.015888064	-0.041627825	0.876950199	0.115377125	0.477911605	0.067237705	0.80242814	0.035353407	0.88116092	-0.163427232	0.411094763	0.119140647	0.627329328
2200002D01Rik	3	0	ENSMUSG00000030587	0.246490108	0.355945446	-0.013606472	0.971511329	0.023450789	0.966384066	0.086645537	0.834388186	0.179538433	0.532332588	-0.034317724	0.842740608	-0.157162625	0.603699575	0.187700013	0.506064661	-0.566696738	0.123002671	0.054280545	0.880020466
2300009A05Rik	1	3	ENSMUSG00000032403	0.493979844	0.006778079	0.270640259	0.188719647	-0.036496424	0.944391611	-0.04114376	0.881328535	-0.058284842	0.813225589	-0.041845053	0.771357125	-0.139513329	0.377381093	-0.335023788	0.006978967	-0.016292592	0.92903985	-0.090123075	0.64015197
2310011J03Rik	1	0	ENSMUSG00000020133	0.259387085	0.295323741	-0.253747566	0.376471497	0.139991355	0.713031195	0.292691734	0.315923506	-0.733751182	0.008093389	-0.254429372	0.111620835	0.122004391	0.584030328	0.075125896	0.714017784	0.649702666	2.48e-05	0.243624716	0.191265103
2310030G06Rik	2	2	ENSMUSG00000032062	-0.012624777		-0.320252045	0.218949101	0.026588275	0.946873333	0.218984371	0.546153128	0.015243807	0.954933364	-0.069486495		-0.054095912	0.817916888	0.232343118	0.311585729	0.579182395	0.192647907	0.129058906	0.474026729
2410004B18Rik	3	0	ENSMUSG00000036873	0.093999042	0.736890651	0.024555567	0.949136754	0.341585793	0.268566427	0.282953339	0.358511407	-0.160663903	0.568263166	-0.092058778	0.597186164	0.083029876	0.786952253	0.049953776	0.863289313	0.501122642	0.025894523	-0.078273106	0.819300819
2410004P03Rik	2	2	ENSMUSG00000071398	0.101380635	0.714244505	0.197430977	0.516046586	0.106661576	0.797603452	-0.112820676	0.760859554	0.178173706	0.528467301	0.162438738	0.379971426	-0.024313274	0.945122762	0.336173427	0.180477938	-0.273059344	0.356686907	-0.074082398	0.832165646
2410131K14Rik	1	0	ENSMUSG00000032840	0.154565598	0.41525473	0.107987378	0.635023889	-0.314812913	0.124571595	-0.736260987	7.5e-06	-0.407785061	0.017570512	0.060357526	0.665395214	0.084225836	0.646576937	-0.896558074	8.6e-15	-0.83840315	3.74e-13	-0.747250775	1.43e-10
2510009E07Rik	3	1	ENSMUSG00000043391	0.119242928	0.543029076	0.34121731	0.065202883	0.111979255	0.747485677	-0.446518801	0.008542967	-0.036398919	0.883846865	-0.16533026	0.24277747	0.584426542	1.29e-05	0.081824557	0.641255908	-0.361760639	0.010970736	0.091544443	0.688725676
2610044O15Rik8	1	1	ENSMUSG00000071302	0.274709314	0.10946635	0.358626773	0.044634906	0.08357539	0.865602804	-0.269589259	0.13728364	-0.154489479	0.421906849	0.467731309	4.03e-06	0.282235655	0.009321909	0.394548912	9.54e-05	0.059338795	0.669608877	0.146708958	0.281885183
2610301B20Rik	3	2	ENSMUSG00000059482	-0.154762918	0.562614317	0.348773344	0.26508663	0.09922455	0.808107794	0.466325316	0.172871058	-1.256155607	0.001466839	0.089956564	0.537022639	0.035563079	0.918092927	0.308365362	0.284065554	0.358022496	0.367459282	0.056266355	0.858036856
2700049A03Rik	3	2	ENSMUSG00000034601	-0.599340952	0.006808181	-0.005653486	0.986540177	-0.028352714	0.962508542	-0.617533724	0.004382636	-0.346323432	0.117916998	0.218665841	0.213591163	0.067197128	0.81837057	0.281028891	0.167109508	-0.327049765	0.124237764	-0.028336371	0.939709768
2700081O15Rik	1	3	ENSMUSG00000053080	-0.661450301	8.67e-10	-0.55559798	3.02e-07	-0.139309888	0.469205204	-0.372580955	0.000806354	-0.350157271	0.00191799	0.00703736	0.965514345	0.056843393	0.8143914	0.078781372	0.672239966	0.790069529	4.45e-09	0.385305446	0.009397711
2810004N23Rik	1	0	ENSMUSG00000031984	0.045236689	0.788531277	0.190823083	0.198669224	0.094763979	0.739796648	-0.069805661	0.686974734	-0.058456972	0.717087036	0.105390574	0.423288251	0.426008556	0.000250796	0.022284844	0.903247186	0.245620847	0.052515344	0.108360381	0.555218114
3110001I22Rik	1	0	ENSMUSG00000079737	0.025926852	0.930944257	0.063034112	0.84577177	-0.095406882	0.829913651	-0.158415119	0.594696763	-0.258258574	0.298281465	0.238649608	0.223514881	-0.001157666	0.997105684	0.038963824	0.898645903	-0.035697712	0.918953226	-0.128166922	0.672969886
3110009E18Rik	3	3	ENSMUSG00000026388	0.352549529	0.194560757	0.097304641	0.762862054	0.002904922	0.996591949	0.034140399	0.935764872	-0.153991277	0.596517075	0.033173191	0.854098063	0.113345058	0.726587204	-0.03441313	0.916991188	-0.360300795	0.304843661	-0.138328172	0.638590997
3110082I17Rik	0	0	ENSMUSG00000053553	-0.451192978	0.127852051	-0.108072163	0.734881804	-0.447436399	0.186341789	-0.790503815	0.026443105	-0.678239253	0.042915559	-0.029754425		-0.068191062	0.814214623	0.019975419	0.947650637	-0.182886706	0.666237511	-0.09006728	0.714293818
3300002I08Rik	1	1	ENSMUSG00000063364	-0.070537754	0.800509514	0.376893289	0.191718789	0.042889525	0.940554383	-0.207825019	0.512674478	-0.261843445	0.329165745	0.872102346	0.000145208	0.218385429	0.399262858	0.123596651	0.625164985	-0.187144183	0.499695155	-0.145715639	0.611083232
3830406C13Rik	3	3	ENSMUSG00000033111	0.279887355	0.104632117	0.026004504	0.926050923	0.072112776	0.863748455	0.422903042	0.011307932	0.079974701	0.714314584	-0.088173114	0.590026047	-0.021544849	0.936827565	0.085886541	0.675773165	0.337702407	0.048060623	0.308750137	0.07831908
4833420G17Rik	3	2	ENSMUSG00000062822	0.201680191	0.310403286	0.251679468	0.239994933	-0.339079744	0.11360101	-0.817259102	2.62e-06	-0.190087703	0.344023918	0.729406369	5.48e-15	0.596125121	1.45e-10	0.122815147	0.304226043	-0.263942229	0.012644457	-0.081733464	0.632214866
4930415O20Rik	2	0	ENSMUSG00000022993	-1.006753523	0.037186299	-0.107301326	0.70869613	-0.089868353	0.77296545	-0.514047548	0.191363374	0.152295298	0.598934331	0.01544361		-0.087759407	0.77851059	0.181305561	0.518363297	-1.509429223	0.002829527	-0.142320572	0.587364739
4930430F08Rik	1	0	ENSMUSG00000046567	-0.009712226	0.968877097	-0.017067693	0.955693261	-0.053059556	0.911458073	0.573808873	0.001241146	-0.312630302	0.10074543	0.015925493	0.887826039	-0.234927295	0.05519575	-0.103023056	0.457459373	0.006333103	0.960420896	-0.038050433	0.882499448
4930444P10Rik	2	2	ENSMUSG00000067795	0.039477413	0.896942769	-0.065097402	0.847852301	-0.167218699	0.609094881	-0.522076153	0.128051506	0.607150373	0.052430538	-0.003389476	0.984592259	-0.041171452	0.909100823	0.220301797	0.436298602	-0.386621336	0.28735208	-0.039457397	0.915034781
4930447C04Rik	3	3	ENSMUSG00000021098	-0.515472468	0.062646105	0.273125511	0.360846534	-0.350807842	0.24449154	0.042761154	0.913287981	0.336656942	0.222718642	0.154240056	0.296849334	0.410910102	0.005919021	-0.120940896	0.49415509	0.175010571	0.301311433	0.687113019	1.01e-06
4930452B06Rik	3	3	ENSMUSG00000021747	-0.036048514	0.904820366	-0.224515277	0.463442533	0.076410866	0.857834753	0.50986614	0.146822274	0.413940153	0.175220011	-0.526429472	0.063482995	-0.158061474	0.598630717	-0.084980697	0.772837406	0.104274674	0.790275628	0.045556104	0.90363826
4930453N24Rik	3	3	ENSMUSG00000059920	0.300692365	0.064385878	0.204241935	0.285331154	0.032447312	0.951875615	-0.158231552	0.410403215	-0.090800726	0.653907013	0.31687127	0.004565149	0.155394131	0.256768558	0.292562828	0.00928425	-0.110499778	0.396661759	-0.019538326	0.938464487
4930474N05Rik	3	2	ENSMUSG00000096405	-0.131492021	0.587841528	0.031686143	0.92356938	-0.01054721	0.984370874	-0.193839567	0.610526626	0.215774255	0.428547046	0.089772408	0.589353005	-0.369794326	0.227665835	0.137924762	0.63055384	-0.317032276	0.386265568	-0.136400882	0.630021326
4930550C14Rik	1	0	ENSMUSG00000005131	0.060012222		0.001978637	0.997335008	0.033284344		-0.022539665	0.955859255	-0.364592464											
4930579G24Rik	0	1	ENSMUSG00000027811	0.145340009	0.588378583	-0.911511485	0.008790152	-0.066861036	0.886010731	-0.164039399	0.633698201	-0.1937431	0.49220317	-0.844855229	0.00031423	-1.214548679	1.36e-07	-1.008212739	7.44e-06	-1.249093145	4.06e-08	-1.117147314	9.59e-07
4931406B18Rik	1	3	ENSMUSG00000013353	0.09105769	0.731891047	0.134281626	0.653301157	-0.002465859	0.996335341	-0.285671656	0.444935015	0.13334308	0.64397448	0.011190109	0.948563635	-0.062307569	0.853306901	0.091494144	0.756525873	-0.389353149	0.296810033	-0.131668649	0.642256989
4931406P16Rik	3	1	ENSMUSG00000066571	-0.460375487	0.001352939	-0.247788407	0.13316669	-0.096610556	0.765890963	-0.823115699	8.4e-10	-0.049905238	0.798548326	-0.13175331	0.35114461	-0.06373254	0.78015894	0.44473223	0.000963231	-0.398213989	0.003627081	-0.034329463	0.909380914
4931414P19Rik	3	2	ENSMUSG00000022179	-0.020879506	0.933582446	-0.253386371	0.255040683	-0.195310853	0.491629852	-0.363368247	0.076959004	-0.323939814	0.102699791	-0.396727942	0.034038356	-0.201724738	0.373022765	-0.327116946	0.098780758	-0.162856496	0.46916964	-0.013136661	0.97334504
4932438A13Rik	3	3	ENSMUSG00000037270	0.088745407	0.613728546	0.159301259	0.381505795	-0.112281615	0.698969859	-0.53626809	9.62e-05	0.086741819	0.640443566	0.077550585	0.63038188	-0.052507464	0.836405203	0.148940542	0.395174639	-0.187914399	0.276202426	-0.218938384	0.226303987
4933402D24Rik	0	0	ENSMUSG00000025961											-0.015373449		0.008647899	0.981262521	-0.002827573	0.992765016	0.250201971	0.535791362	0.025165614	0.944014782
4933428G20Rik	3	1	ENSMUSG00000047988	-0.065048961	0.81408907	-0.000789878	0.997505858	-0.033638376	0.954676441	-0.538552613	0.154962116	-0.082476884	0.785277778	-0.004700484	0.975808503	-0.127432216	0.679902127	-0.104424048	0.719293131	-0.883779974	0.021136517	-0.05760494	0.867195344
4933430I17Rik	2	0	ENSMUSG00000058046	0.068294894	0.80871008	0.421984104	0.204162911	-0.104786049	0.762321739	-0.310164445	0.39939187	-0.573472905	0.103051206	0.059776337		0.122962704	0.672456117	-0.039640595	0.894376743	-0.185937548	0.65752794	-0.12488225	0.617903742
5430403G16Rik	3	0	ENSMUSG00000072763	-0.090993287	0.696050946	0.040542507	0.894219349	-0.277597331	0.28202253	0.026224396	0.933461201	-0.104642668	0.662606152	0.24806652	0.184534964	0.15496795	0.560837264	0.171089125	0.462645023	0.320380869	0.170875338	0.075768649	0.820566403
5530401A14Rik	3	3	ENSMUSG00000020703	0.156213763	0.523742974	0.481715248	0.165050461	-0.05007047	0.889347526	-0.247526896	0.50971284	0.646884894	0.083436018	0.036146063	0.835138413	-0.394462837	0.2037126	0.237799181	0.402245892	-0.760340708	0.04614556	-0.034535566	0.927022032
5730409E04Rik	3	0	ENSMUSG00000073755	0.520050889	0.011264915	0.245376172	0.29220651	0.205760965	0.476026095	0.633370328	0.001588616	0.083096445	0.75098282	-0.195162332	0.158717068	0.189632148	0.247228971	-0.323367016	0.023315599	0.289110146	0.042251909	-0.029212452	0.922157188
5730455P16Rik	3	2	ENSMUSG00000057181	-0.01898907	0.932079885	0.137485321	0.536927155	-0.013693228	0.969879431	0.157156369	0.648621288	0.050025676	0.837190309	-0.01000722	0.928546455	0.147157986	0.488099899	0.171493625	0.43411717	-0.041207182	0.926239371	-0.004779501	0.985619789
5730507C01Rik	3	2	ENSMUSG00000073197	-0.180696479	0.496122599	0.368670698	0.2300672	-0.036543072	0.949914881	-0.080896717	0.83968518	0.285945556	0.307543071	-0.029182268	0.877058054	-0.567633452	0.024043717	-0.209077384	0.395463131	-0.855227518	0.00071528	0.434373318	0.07007276
5730522E02Rik	3	3	ENSMUSG00000032985	-1.058754651	0.013642688	-0.266563177	0.386077981	-0.06039415	0.887556215	0.815736992	0.025408225	-0.019139004	0.954136359	0.094512257	0.561916113	-0.042108916	0.905690304	0.006100545	0.981586141	2.657022029	2.25e-15	0.177699902	0.523129173
6030458C11Rik	1	1	ENSMUSG00000022195	0.248758509	0.06461255	0.311625886	0.02303519	0.075595731	0.812437872	-0.26367756	0.054987126	0.179491463	0.212451604	0.115364661	0.263098264	0.136906676	0.238028482	-0.091711348	0.426015447	0.041218782	0.74662485	-0.084240835	0.573802516
6330409D20Rik	2	3	ENSMUSG00000009551	-0.139771205		-0.305217407	0.245338466	-0.098230911		-0.072568741	0.857342493	-0.038903829		-0.177485654		-0.11515334		-0.035753539		-0.098673546	0.828005973	0.04755421	
6430548M08Rik	1	0	ENSMUSG00000031824	-0.277892289	0.237667955	0.146928921	0.598368522	-0.004332982	0.988798751	-0.188670841	0.524273961	-0.105358601	0.70964137	-0.034920445	0.849165161	0.221961578	0.401674267	-0.132407819	0.600220219	0.172780816	0.54015622	0.01030495	0.982246344
6430550D23Rik	1	0	ENSMUSG00000074646	0.081416281	0.773415448	0.598662913	0.06578737	-0.223701986	0.48027782	-0.700604646	0.037159874	0.225448144	0.426687658	0.623271565	0.009758279	0.310777589	0.222166695	-0.03731966	0.899360601	-1.111997635	1.88e-05	-0.451765068	0.074001322
6430571L13Rik	1	1	ENSMUSG00000037977	0.971694543	2.16e-09	0.948607337	4.09e-09	-0.38470145	0.046910839	-1.226894593	6.82e-14	-0.75665493	7.13e-06	0.888577818	1.48e-25	0.990147764	9.29e-33	-1.153116631	1.89e-35	-1.450046068	5.82e-53	-1.106639082	7.140000000000001e-33
9130230L23Rik	3	0	ENSMUSG00000054598	0.135992724	0.617490256	0.242364797	0.430399548	-0.120694788	0.741814934	-0.221461787	0.532713732	0.135428521	0.646725828	0.06182511	0.736251323	0.011844859	0.974750798	0.277142092	0.313470783	-0.458766924	0.162137684	-0.127685112	0.673081874
9330159F19Rik	3	2	ENSMUSG00000004360	-0.101646378	0.582100253	-0.230936194	0.201702798	-0.027137232	0.959617901	-0.092287969	0.644175764	0.57715023	7.07e-05	-0.06197892	0.686745234	-0.121491096	0.525819459	-0.039756326	0.835366039	0.103208146	0.54712142	0.203822701	0.224468762
9330182L06Rik	3	3	ENSMUSG00000056004	-0.479638715	0.076410234	-0.142851652	0.636999884	0.086198814	0.850696637	0.506353297	0.076470349	0.594600592	0.029904958	-0.120994846	0.484797672	-0.303240571	0.16030688	-0.298709006	0.150779826	0.351915031	0.092811381	-0.068168811	0.834162894
9430015G10Rik	3	0	ENSMUSG00000059939	0.104861112	0.652271184	0.162839173	0.510815556	0.008033033	0.992043271	-0.419418093	0.047646808	-0.023062932	0.935704664	0.295465819	0.085977957	0.385416871	0.039572173	0.313222102	0.097559566	0.026681499	0.923603931	0.182481912	0.427879421
9530068E07Rik	3	1	ENSMUSG00000036275	0.047722523	0.839955137	-0.083095605	0.717645038	0.110051905	0.734306085	0.249836998	0.177739612	0.042663954	0.845588322	-0.103307879	0.462157067	0.32038312	0.023774334	-0.102184748	0.535422684	0.383701691	0.004583592	0.214213948	0.182836858
9530077C05Rik	0	0	ENSMUSG00000036411	0.251922519	0.189569042	0.287291487	0.174727905	-0.283968916	0.231080416	-0.054182587	0.843255648	0.039617724	0.881153593	0.293341111	0.083989628	0.378929535	0.03830085	0.161402135	0.421659442	-0.116506213	0.596219199	-0.034832794	0.922157188
A130010J15Rik	3	0	ENSMUSG00000079144	0.159975044	0.505188481	0.402257302	0.106049283	0.053779157	0.917731871	0.4464264	0.063034353	0.022708768	0.941344199	0.363439804	0.05191213	0.462272059	0.020616631	-0.711859663	0.000516926	-0.502662043	0.015599222	-0.298760302	0.172122139
A2m	3	3	ENSMUSG00000030111	-0.357171578	0.198849993	-0.443944866	0.170265068	0.146273201	0.670808149	0.39670874	0.2446427	-0.665221768	0.045928921	-0.08067098	0.66055095	1.392426895	8.26e-08	0.804150151	0.002217441	1.18703414	4.31e-06	0.443553629	0.088934382
A3galt2	3	0	ENSMUSG00000028794	0.316495313	0.243574865	0.009533368	0.980516792	0.362871842	0.258453681	0.292874803	0.389779537	-0.143328825	0.624473152	0.68491308	0.00676478	-0.14722155	0.614925637	1.01162891	4.88e-05	-0.851616744	0.00150521	-0.446319002	0.086715427
A430005L14Rik	1	3	ENSMUSG00000047613	0.648919788	0.013615731	0.013703077	0.9724788	-0.075844887	0.87100738	-0.114836129	0.726835203	-0.571585784	0.026525829	-0.015315415	0.930922191	0.11458325	0.60527219	-0.056063104	0.787401102	-0.247247169	0.164402372	-0.19425695	0.32122681
A930002H24Rik	1	3	ENSMUSG00000045506	0.00610087		0.041790843	0.888786093	-0.022116133		-0.369589269	0.313030664	-0.115338373											
A930003A15Rik	1	2	ENSMUSG00000075330	2.276114683	6.7e-19	1.02445371	0.000113108	-2.252183158	5.61e-17	-5.326044194	1.5500000000000002e-57	0.059472524	0.853026231	0.209887447	0.144351777	0.044253862	0.85788325	-4.144027252	1.4399999999999998e-137	-7.732472998	7.33e-85	-0.769428633	2.67e-08
A930004D18Rik	0	1	ENSMUSG00000054057	0.011519427	0.972188301	-0.610813302	0.06557543	-0.149872647	0.669233628	-0.025736107	0.953117961	-0.128510409	0.657649868	-0.135661674	0.319302844	-1.785423725	7.36e-41	-2.616110261	9.43e-73	-2.03838846	2.64e-51	-1.76926397	5.4e-41
A930009A15Rik	3	2	ENSMUSG00000092210	-0.211431683	0.422523048	-0.090927298	0.786860634	1.565896042	3.18e-08	3.824870871	1.02e-50	1.114858034	8.73e-05	-0.284859811	0.16619348	-1.062632943	0.000203056	0.731581866	0.002597609	1.969667347	4.15e-18	1.136318485	2.03e-06
A930033H14Rik	3	3	ENSMUSG00000090622	0.390234709	0.074577712	0.288786361	0.240050935	-0.504770329	0.043888449	-2.048463793	4.18e-18	-0.646784773	0.004086017	0.274420665	0.042348153	0.408404965	0.00211006	-1.361589364	6.13e-25	-3.635215758	1.6299999999999999e-91	-0.272143735	0.068653903
AI429214	2	3	ENSMUSG00000074384	-0.043513637	0.880561851	-0.31454181	0.289427288	0.016121246	0.982170353	0.607425433	0.028865509	-0.796953445	0.004952416	0.466607339	0.048578011	0.392565022	0.135301406	1.992479568	1.01e-16	3.078199008	3.71e-40	0.780575848	0.002562798
AI593442	3	2	ENSMUSG00000078307	-0.173358746	0.477117116	-0.176241299	0.531261671	0.10467602	0.810226062	0.468190584	0.070596692	0.269290074	0.276985399	-0.424165637	0.019004324	-0.2093968	0.334098842	-0.329540964	0.086539913	0.147367725	0.50893199	0.107603022	0.694735497
AI597479	3	3	ENSMUSG00000010290	-0.034027644	0.873785452	0.076085769	0.752084059	-0.01849853	0.973179249	0.031601793	0.905230598	0.099529577	0.627504846	-0.10668992	0.457742919	0.083516648	0.684631541	-0.286805613	0.051508957	-0.04772994	0.799664234	-0.033612488	0.911223308
AU022252	1	0	ENSMUSG00000078584	-0.24633389	0.105927999	-0.064078002	0.762763668	0.032816812	0.948683058	-0.012420981	0.955317621	-0.07418942	0.698709067	0.079890944	0.513040708	0.008952588	0.968499072	-0.201611736	0.094543257	0.006436083	0.965560725	-0.197510772	0.12681638
AU040320	1	0	ENSMUSG00000028830	0.173066821	0.385515993	1.128290905	7.48e-11	0.014117481	0.984101202	-0.340832077	0.086417477	-0.488115814	0.010337801	0.382889028	0.086184993	0.754448537	0.004055185	0.169443726	0.515170892	-0.149109648	0.63374797	-0.051975677	0.889549004
