peak.id	seqnames	start	end	width	strand	WT	E80A	K88N	R90W	cluster	row_cluster	small.cluster	khom_cluster	ehom_cluster	k50_mono	k50_di	q50_mono	q50_di	gene	k50_group	q50_group
peak.18	chr1	10037998	10038398	401	*	50.66040008	54.91520464	6.005495209	14.70563045	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	1	0	0	0	Cops5	3	2
peak.19	chr1	10155883	10156283	401	*	145.4141113	62.48971563	26.42417892	23.28391489	e80a.lost	e80a.lost	e80a_shared	k88n.lost	e80a.notDB	1	1	1	0	Arfgef1	3	1
peak.20	chr1	10228928	10229328	401	*	85.37215569	118.3517341	21.61978275	24.50938409	e80a.notDB	e80a.notDB	e80a_shared	k88n.notDB	e80a.notDB	0	1	1	0	Arfgef1	3	1
peak.21	chr1	13200240	13200640	401	*	28.14466671	48.28750753	4.804396167	15.93109966	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB	1	1	0	0	Ncoa2	3	1
peak.22	chr1	13203753	13204153	401	*	412.7884451	391.9809435	14.4131885	73.52815227	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	1	0	1	0	Ncoa2	3	1
peak.23	chr1	13372362	13372762	401	*	74.11428901	84.26643471	8.407693293	13.48016125	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	1	0	0	0	Ncoa2	3	1
peak.24	chr1	13494995	13495395	401	*	117.2694446	160.9583584	9.608792334	20.83297648	e80a.notDB	e80a.gained	e80a_shared	k88n.lost	e80a.notDB	1	0	1	0	Ncoa2	3	1
peak.25	chr1	15805279	15805679	401	*	90.06293348	81.42599309	7.206594251	18.38203807	e80a.notDB	e80a.lost	e80a_shared	k88n.lost	e80a.notDB	1	0	0	0	Terf1	1	0
peak.26	chr1	16053552	16053952	401	*	154.7956669	48.28750753	6.005495209	24.50938409	e80a.lost	e80a.lost	e80a_shared	k88n.lost	e80a.notDB	0	1	0	1	4930444P10Rik	2	2
peak.27	chr1	16104297	16104697	401	*	103.1971113	98.46864281	10.80989138	14.70563045	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	1	0	0	0	Rdh10	3	2
peak.28	chr1	16108868	16109268	401	*	198.8889781	96.57501506	33.63077317	25.7348533	e80a.lost	e80a.lost	e80a_shared	k88n.lost	e80a.notDB	1	1	0	1	Rdh10	3	2
peak.29	chr1	16229526	16229926	401	*	14.07233336	7.574510985	74.46814059	12.25469205	k88n.gained	k88n.gained	k88n_unique	k88n.gained	0	1	1	0	1	Rdh10	3	2
peak.30	chr1	16656920	16657320	401	*	74.11428901	88.05369021	10.80989138	17.15656886	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	1	0	0	0	Eloc	1	0
peak.31	chr1	17100322	17100722	401	*	41.27884451	152.4370336	22.82088179	31.86219932	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB	1	1	1	1	Jph1	3	3
peak.32	chr1	19615829	19616229	401	*	14.07233336	9.468138732	68.46264538	12.25469205	k88n.gained	k88n.gained	k88n_unique	k88n.gained	0	0	1	1	1	Tfap2b	2	3
peak.33	chr1	19900071	19900471	401	*	46.90777785	80.47917922	18.01648563	13.48016125	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB	1	1	1	1	Pkhd1	3	3
peak.34	chr1	23825449	23825849	401	*	21.57757781	71.95785436	9.608792334	11.02922284	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB	1	0	1	0	B3gat2	1	1
peak.35	chr1	24005550	24005950	401	*	100.3826446	144.8625226	10.80989138	9.803753636	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	1	0	0	0	Sdhaf4	1	0
peak.36	chr1	24279977	24280377	401	*	119.1457557	185.5755191	16.81538659	19.60750727	e80a.gained	e80a.gained	e80a_shared	k88n.lost	e80a.notDB	1	0	0	0	Col19a1	3	0
peak.37	chr1	24492050	24492450	401	*	166.9916892	209.245866	10.80989138	39.21501455	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	1	1	0	0	Col19a1	3	0
peak.38	chr1	24759023	24759423	401	*	43.15515562	65.33015725	10.80989138	18.38203807	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB	1	0	0	0	Lmbrd1	1	0
peak.39	chr1	30833633	30834033	401	*	41.27884451	121.1921758	15.61428754	15.93109966	e80a.gained	e80a.notDB	e80a_shared	k88n.notDB	e80a.notDB	0	0	1	1	Phf3	0	3
peak.40	chr1	33527499	33527899	401	*	31.89728894	91.8409457	27.62527796	9.803753636	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB	1	0	0	0	Gm5415	1	0
peak.41	chr1	33889991	33890391	401	*	6.567088899	5.680883239	64.85934826	8.578284432	k88n.gained	k88n.gained	k88n_unique	k88n.gained	0	0	1	1	1	Bend6	2	3
peak.42	chr1	34001143	34001543	401	*	93.8155557	121.1921758	8.407693293	41.66595295	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	1	1	0	0	Ccdc115	3	3
peak.43	chr1	34120728	34121128	401	*	70.36166678	72.90466824	21.61978275	18.38203807	e80a.notDB	e80a.notDB	e80a_shared	k88n.notDB	e80a.notDB	1	0	1	0	Ccdc115	3	3
peak.44	chr1	34124410	34124810	401	*	133.2180891	231.0225851	34.83187221	47.79329898	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB	1	0	0	0	Ccdc115	3	3
peak.45	chr1	34211742	34212142	401	*	84.43400013	166.6392417	33.63077317	52.6951758	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB	1	1	0	1	Ccdc115	3	3
peak.46	chr1	34439515	34439915	401	*	218.5902448	216.820377	32.42967413	28.1857917	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	1	0	1	0	Ccdc115	3	3
peak.47	chr1	34706406	34706806	401	*	129.4654669	57.75564626	7.206594251	15.93109966	e80a.lost	e80a.lost	e80a_shared	k88n.lost	e80a.notDB	1	0	1	0	Arhgef4	1	1
peak.48	chr1	34739922	34740322	401	*	36.58806672	91.8409457	10.80989138	12.25469205	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB	1	0	0	0	Arhgef4	1	1
peak.49	chr1	34849335	34849735	401	*	182.0021781	139.1816394	10.80989138	15.93109966	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	1	1	1	1	Plekhb2	3	3
peak.50	chr1	34851248	34851648	401	*	38.46437784	47.34069366	10.80989138	15.93109966	e80a.notDB	e80a.notDB	e80a_shared	k88n.notDB	e80a.notDB	0	0	0	0	Plekhb2	3	3
peak.51	chr1	34866817	34867217	401	*	335.8596894	313.395392	26.42417892	56.37158341	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	1	1	0	0	Plekhb2	3	3
peak.52	chr1	36064931	36065331	401	*	125.7128446	125.9262451	10.80989138	20.83297648	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	1	0	0	0	Hs6st1	1	0
peak.53	chr1	36244198	36244598	401	*	62.85642232	72.90466824	4.804396167	11.02922284	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	0	0	0	0	Uggt1	0	0
peak.54	chr1	36476191	36476591	401	*	33.77360005	76.69192373	13.21208946	9.803753636	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB	1	0	0	0	Cnnm3	1	0
peak.55	chr1	36492459	36492859	401	*	112.5786668	130.6603145	31.22857509	24.50938409	e80a.notDB	e80a.notDB	e80a_shared	k88n.notDB	e80a.notDB	1	0	0	0	Cnnm3	1	0
peak.56	chr1	36523577	36523977	401	*	47.84593341	81.42599309	12.01099042	12.25469205	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB	0	1	0	0	Ankrd23	2	0
peak.57	chr1	36547134	36547534	401	*	60.04195565	58.70246014	4.804396167	14.70563045	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	0	0	0	0	Ankrd39	0	0
peak.58	chr1	36674801	36675201	401	*	21.57757781	67.223785	4.804396167	8.578284432	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB	1	0	0	0	Fam178b	1	0
peak.59	chr1	36680882	36681282	401	*	162.3009114	150.5434058	18.01648563	28.1857917	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	1	0	0	0	Fam178b	1	0
peak.60	chr1	36709941	36710341	401	*	71.29982234	66.27697112	10.80989138	22.05844568	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	0	0	0	0	4933424G06Rik	0	0
peak.61	chr1	37214204	37214604	401	*	71.29982234	38.8193688	19.21758467	18.38203807	e80a.lost	e80a.lost	e80a_shared	k88n.notDB	e80a.notDB	0	1	1	1	Cnga3	3	3
peak.62	chr1	37218918	37219318	401	*	62.85642232	63.4365295	8.407693293	18.38203807	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	1	1	0	0	Cnga3	3	3
peak.63	chr1	37541629	37542029	401	*	106.0115779	72.90466824	27.62527796	22.05844568	e80a.lost	e80a.lost	e80a_shared	k88n.notDB	e80a.notDB	1	0	1	1	Mgat4a	1	3
peak.64	chr1	37997113	37997513	401	*	98.50633349	86.16006246	28.826377	19.60750727	e80a.notDB	e80a.notDB	e80a_shared	k88n.notDB	e80a.notDB	0	0	0	0	Eif5b	0	0
peak.65	chr1	38562189	38562589	401	*	48.78408897	92.78775957	87.68023005	13.48016125	k88n.gained	e80a.gained	k88n_unique	k88n.notDB	0	1	1	0	0	Aff3	3	0
peak.66	chr1	38584306	38584706	401	*	35.64991117	105.0963399	8.407693293	12.25469205	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB	1	1	0	0	Aff3	3	0
peak.67	chr1	38596114	38596514	401	*	25.33020004	81.42599309	10.80989138	7.352815227	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB	1	0	0	0	Aff3	3	0
peak.68	chr1	39431766	39432166	401	*	75.99060012	63.4365295	12.01099042	13.48016125	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	1	0	0	0	Rpl31	3	3
peak.69	chr1	39433895	39434295	401	*	162.3009114	107.9367815	24.02198084	30.63673011	e80a.lost	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	0	1	0	1	Rpl31	3	3
peak.70	chr1	39444995	39445395	401	*	105.0734224	53.0215769	12.01099042	19.60750727	e80a.lost	e80a.lost	e80a_shared	k88n.lost	e80a.notDB	1	1	1	0	Rpl31	3	3
peak.71	chr1	39446186	39446586	401	*	232.6625781	116.4581064	74.46814059	40.44048375	e80a.lost	e80a.lost	e80a_shared	k88n.notDB	e80a.notDB	1	1	0	1	Rpl31	3	3
peak.72	chr1	39449852	39450252	401	*	109.7642002	100.3622706	3.603297125	6.127346023	e80a.notDB	e80a.notDB	e80a_shared	0	e80a.notDB	1	0	0	0	Rpl31	3	3
peak.73	chr1	39451998	39452398	401	*	116.3312891	106.0431538	14.4131885	14.70563045	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	1	0	0	0	Rpl31	3	3
peak.74	chr1	39474088	39474488	401	*	258.9309337	271.7355816	16.81538659	25.7348533	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	1	0	1	0	Rpl31	3	3
peak.75	chr1	39476904	39477304	401	*	47.84593341	68.17059887	15.61428754	9.803753636	e80a.notDB	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB	1	0	1	0	Rpl31	3	3
peak.76	chr1	39931989	39932389	401	*	71.29982234	56.80883239	9.608792334	8.578284432	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	1	0	0	0	Il1r2	1	0
peak.77	chr1	39963837	39964237	401	*	63.79457788	60.59608788	2.402198084	18.38203807	e80a.notDB	e80a.notDB	e80a_shared	0	e80a.notDB	1	0	0	0	Il1r2	1	0
peak.78	chr1	40154788	40155188	401	*	92.87740015	41.65981042	15.61428754	12.25469205	e80a.lost	e80a.lost	e80a_shared	k88n.lost	e80a.notDB	1	0	0	0	Il1r1	1	0
peak.79	chr1	43095105	43095505	401	*	83.49584458	123.0858035	7.206594251	12.25469205	e80a.gained	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	1	1	0	1	AI597479	3	3
peak.80	chr1	43098077	43098477	401	*	50.66040008	67.223785	9.608792334	13.48016125	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	1	0	1	0	AI597479	3	3
peak.81	chr1	44594000	44594400	401	*	283.3229782	20.82990521	80.4736358	53.920645	e80a.lost	e80a.lost	e80a_shared	k88n.notDB	e80a.lost	1	1	1	1	Col3a1	3	3
peak.82	chr1	44733521	44733921	401	*	145.4141113	48.28750753	25.22307988	25.7348533	e80a.lost	e80a.lost	e80a_shared	k88n.lost	e80a.notDB	1	0	1	0	Col3a1	3	3
peak.83	chr1	45795211	45795611	401	*	74.11428901	90.89413183	20.41868371	22.05844568	e80a.notDB	e80a.notDB	e80a_shared	k88n.notDB	e80a.notDB	1	0	1	0	Wdr75	1	1
peak.84	chr1	45822025	45822425	401	*	32.8354445	60.59608788	19.21758467	15.93109966	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB	1	0	0	0	Wdr75	1	1
peak.85	chr1	46153031	46153431	401	*	17.82495558	95.62820119	9.608792334	12.25469205	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.gained	1	0	0	0	Dnah7b	3	2
peak.86	chr1	46166660	46167060	401	*	10.31971113	53.0215769	10.80989138	11.02922284	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB	1	1	0	1	Dnah7b	3	2
peak.87	chr1	51478277	51478677	401	*	56.28933342	66.27697112	10.80989138	20.83297648	e80a.notDB	e80a.notDB	e80a_shared	k88n.notDB	e80a.notDB	1	0	0	0	Nabp1	1	0
peak.88	chr1	51628106	51628506	401	*	178.2495558	155.2774752	19.21758467	26.9603225	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	1	0	1	0	Myo1b	1	1
peak.89	chr1	52150020	52150420	401	*	56.28933342	76.69192373	9.608792334	12.25469205	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	1	0	0	0	Gls	3	2
peak.90	chr1	52231862	52232262	401	*	112.5786668	71.95785436	25.22307988	22.05844568	e80a.lost	e80a.lost	e80a_shared	k88n.lost	e80a.notDB	1	1	0	1	Gls	3	2
peak.91	chr1	52330545	52330945	401	*	62.85642232	70.06422662	10.80989138	13.48016125	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	1	0	0	0	Gls	3	2
peak.92	chr1	52435735	52436135	401	*	127.5891558	64.38334338	10.80989138	29.41126091	e80a.lost	e80a.lost	e80a_shared	k88n.lost	e80a.notDB	1	1	0	0	Gls	3	2
peak.93	chr1	52634241	52634641	401	*	51.59855564	73.85148211	8.407693293	18.38203807	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	1	0	0	0	Mfsd6	3	2
peak.94	chr1	52726159	52726559	401	*	38.46437784	48.28750753	7.206594251	15.93109966	e80a.notDB	e80a.notDB	e80a_shared	k88n.notDB	e80a.notDB	1	1	0	1	Mfsd6	3	2
peak.95	chr1	53225631	53226031	401	*	121.0220669	41.65981042	16.81538659	25.7348533	e80a.lost	e80a.lost	e80a_shared	k88n.lost	e80a.notDB	1	1	0	1	1700019A02Rik	3	2
peak.96	chr1	53778483	53778883	401	*	114.454978	72.90466824	2.402198084	14.70563045	e80a.lost	e80a.lost	e80a_shared	0	e80a.notDB	1	1	0	1	Dnah7a	3	2
peak.97	chr1	54286429	54286829	401	*	91.93924459	40.71299655	146.5340831	20.83297648	k88n.gained	k88n.gained	k88n_unique	k88n.notDB	0	1	1	0	1	Ccdc150	3	2
peak.98	chr1	54438445	54438845	401	*	53.47486675	21.77671908	15.61428754	17.15656886	e80a.lost	e80a.lost	e80a_shared	k88n.notDB	e80a.notDB	1	0	1	0	Gtf3c3	1	1
peak.99	chr1	54859860	54860260	401	*	114.454978	102.2558983	4.804396167	13.48016125	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	1	1	0	0	Ankrd44	3	3
peak.100	chr1	55002268	55002668	401	*	123.8365335	38.8193688	6.005495209	13.48016125	e80a.lost	e80a.lost	e80a_shared	k88n.lost	e80a.notDB	1	1	1	1	Ankrd44	3	3
peak.101	chr1	55052525	55052925	401	*	65.67088899	67.223785	6.005495209	7.352815227	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	1	0	0	0	Coq10b	1	0
peak.102	chr1	55501154	55501554	401	*	20.63942225	99.41545668	14.4131885	15.93109966	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.gained	1	0	1	0	Plcl1	3	3
peak.103	chr1	55700801	55701201	401	*	15.94864447	47.34069366	14.4131885	12.25469205	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB	1	1	1	1	Plcl1	3	3
peak.104	chr1	55888639	55889039	401	*	558.2025564	469.6196811	45.64176359	83.33190591	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	1	0	0	0	Plcl1	3	3
peak.105	chr1	56973276	56973676	401	*	56.28933342	84.26643471	8.407693293	18.38203807	e80a.gained	e80a.gained	e80a_shared	k88n.lost	e80a.notDB	1	0	0	0	Satb2	1	0
peak.106	chr1	58203838	58204238	401	*	32.8354445	76.69192373	9.608792334	17.15656886	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB	1	0	1	0	Aox4	1	1
peak.107	chr1	58394577	58394977	401	*	30.02097783	55.86201852	10.80989138	8.578284432	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB	1	1	0	1	Bzw1	3	2
peak.108	chr1	58586214	58586614	401	*	45.03146674	49.23432141	15.61428754	8.578284432	e80a.notDB	e80a.notDB	e80a_shared	k88n.notDB	e80a.notDB	1	0	0	0	Fam126b	1	0
peak.109	chr1	58600448	58600848	401	*	34.71175561	97.52182894	7.206594251	23.28391489	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB	1	0	0	0	Ndufb3	1	3
peak.110	chr1	58602471	58602871	401	*	124.7746891	71.01104049	4.804396167	13.48016125	e80a.lost	e80a.lost	e80a_shared	k88n.lost	e80a.notDB	1	0	0	1	Ndufb3	1	3
peak.111	chr1	58621196	58621596	401	*	36.58806672	120.2453619	15.61428754	15.93109966	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB	1	0	1	0	Ndufb3	1	3
peak.112	chr1	58713781	58714181	401	*	31.89728894	63.4365295	7.206594251	18.38203807	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB	1	0	1	0	Casp8	3	3
peak.113	chr1	58723048	58723448	401	*	123.8365335	116.4581064	8.407693293	25.7348533	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	1	0	0	0	Casp8	3	3
peak.114	chr1	58880791	58881191	401	*	69.42351122	234.8098405	12.01099042	24.50938409	e80a.gained	e80a.gained	e80a_shared	k88n.lost	e80a.notDB	1	1	0	1	Casp8	3	3
peak.115	chr1	58961490	58961890	401	*	86.31031125	139.1816394	14.4131885	18.38203807	e80a.gained	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	1	1	0	0	Casp8	3	3
peak.116	chr1	58969959	58970359	401	*	65.67088899	93.73457345	4.804396167	12.25469205	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	0	0	0	0	Stradb	1	0
peak.117	chr1	58972865	58973265	401	*	59.10380009	98.46864281	16.81538659	20.83297648	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB	1	0	0	0	Stradb	1	0
peak.118	chr1	59117452	59117852	401	*	329.2926005	116.4581064	69.66374442	52.6951758	e80a.lost	e80a.lost	e80a_shared	k88n.lost	e80a.notDB	0	1	1	1	C2cd6	2	3
peak.119	chr1	59161469	59161869	401	*	218.5902448	217.7671908	4.804396167	29.41126091	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	1	0	0	0	Mpp4	3	2
peak.120	chr1	59163483	59163883	401	*	142.5996447	79.53236535	12.01099042	26.9603225	e80a.lost	e80a.lost	e80a_shared	k88n.lost	e80a.notDB	1	1	0	1	Mpp4	3	2
peak.121	chr1	59207886	59208286	401	*	204.5179114	34.08529943	16.81538659	15.93109966	e80a.lost	e80a.lost	e80a_shared	k88n.lost	e80a.lost	1	1	0	1	Als2	3	2
peak.122	chr1	59425196	59425596	401	*	78.80506679	128.7666868	24.02198084	14.70563045	e80a.gained	e80a.notDB	e80a_shared	k88n.notDB	e80a.notDB	1	0	1	0	Cdk15	1	1
peak.123	chr1	59684705	59685105	401	*	70.36166678	56.80883239	21.61978275	23.28391489	e80a.notDB	e80a.notDB	e80a_shared	k88n.notDB	e80a.notDB	0	0	0	0	Nop58	0	0
peak.124	chr1	60097816	60098216	401	*	100.3826446	88.05369021	16.81538659	19.60750727	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	1	0	0	0	Wdr12	3	3
peak.125	chr1	60100099	60100499	401	*	38.46437784	112.6708509	14.4131885	15.93109966	e80a.gained	e80a.notDB	e80a_shared	k88n.notDB	e80a.notDB	1	1	1	1	Wdr12	3	3
peak.126	chr1	60129948	60130348	401	*	9.38155557	80.47917922	12.01099042	12.25469205	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.gained	1	1	1	0	Carf	3	3
peak.127	chr1	60273851	60274251	401	*	130.4036224	100.3622706	12.01099042	17.15656886	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	1	1	0	1	Carf	3	3
peak.128	chr1	60569724	60570124	401	*	146.3522669	109.8304093	15.61428754	12.25469205	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	1	0	0	0	Raph1	1	0
peak.129	chr1	61140183	61140583	401	*	25.33020004	69.11741274	3.603297125	7.352815227	e80a.gained	e80a.gained	e80a_shared	0	e80a.notDB	1	1	1	0	Pard3b	3	3
peak.130	chr1	61229116	61229516	401	*	60.04195565	118.3517341	7.206594251	17.15656886	e80a.gained	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	0	1	0	0	Pard3b	3	3
peak.131	chr1	61265804	61266204	401	*	121.0220669	70.06422662	148.9362812	26.9603225	k88n.gained	k88n.gained	k88n_unique	k88n.notDB	0	1	1	1	1	Pard3b	3	3
peak.132	chr1	61298829	61299229	401	*	112.5786668	52.07476303	56.45165496	18.38203807	e80a.lost	e80a.lost	e80a_shared	k88n.notDB	e80a.notDB	1	1	0	1	Pard3b	3	3
peak.133	chr1	61331930	61332330	401	*	51.59855564	86.16006246	12.01099042	7.352815227	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB	1	1	0	0	Pard3b	3	3
peak.134	chr1	62370348	62370748	401	*	17.82495558	17.04264972	100.8923195	14.70563045	k88n.gained	k88n.gained	k88n_unique	k88n.gained	0	1	1	0	1	Nrp2	3	2
peak.135	chr1	62984663	62985063	401	*	105.0734224	150.5434058	4.804396167	23.28391489	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	1	0	0	0	Ino80d	3	1
peak.136	chr1	63088868	63089268	401	*	144.4759558	76.69192373	8.407693293	13.48016125	e80a.lost	e80a.lost	e80a_shared	k88n.lost	e80a.notDB	0	1	1	0	Ino80d	3	1
peak.137	chr1	63294031	63294431	401	*	86.31031125	54.91520464	24.02198084	18.38203807	e80a.lost	e80a.lost	e80a_shared	k88n.notDB	e80a.notDB	1	1	0	1	Adam23	3	2
peak.138	chr1	64078805	64079205	401	*	20.63942225	70.06422662	19.21758467	25.7348533	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB	0	0	0	0	4933402D24Rik	0	0
